seq,date,cumulative,new
1,26/03/20,41,4
2,27/03/20,41,0
3,28/03/20,55,14
4,29/03/20,65,10
5,30/03/20,82,17
6,31/03/20,101,19
7,01/04/20,103,2
8,02/04/20,113,10
9,03/04/20,172,59
10,04/04/20,174,2
11,05/04/20,227,53
12,06/04/20,305,78
13,07/04/20,305,0
14,08/04/20,343,38
15,09/04/20,410,67
16,10/04/20,431,21
17,11/04/20,433,2
18,12/04/20,452,19
19,13/04/20,483,31
20,14/04/20,657,174
21,15/04/20,735,78
22,16/04/20,773,38
23,17/04/20,849,76
24,18/04/20,969,120
25,19/04/20,1084,115
26,20/04/20,1184,100
27,21/04/20,1294,110
28,22/04/20,1412,118
29,23/04/20,1510,98
30,24/04/20,1621,111
31,25/04/20,1778,157
32,26/04/20,1868,90
33,27/04/20,1955,87
34,28/04/20,2043,88
35,29/04/20,2115,72
36,30/04/20,2134,19
37,01/05/20,2203,69
38,02/05/20,2281,78
39,03/05/20,2455,174
40,04/05/20,2626,171
41,05/05/20,2742,116
42,06/05/20,2859,117
43,07/05/20,2880,21
44,08/05/20,2998,118
45,09/05/20,3071,73
46,10/05/20,3214,143
47,11/05/20,3373,159
48,12/05/20,3573,200
49,13/05/20,3664,91
50,14/05/20,3729,65
51,15/05/20,3902,173
52,16/05/20,4057,155
53,17/05/20,4258,201
54,18/05/20,4258,0
55,19/05/20,4605,347
56,20/05/20,4605,0
57,21/05/20,5175,570
58,22/05/20,5515,340
59,23/05/20,5515,0
60,24/05/20,6017,502
61,25/05/20,6268,251
62,26/05/20,6532,264
63,27/05/20,6548,16
64,28/05/20,6991,443
65,29/05/20,6991,0
66,30/05/20,7284,293
67,31/05/20,7445,161
68,01/06/20,7823,378
69,02/06/20,8075,252
70,03/06/20,8361,286
71,04/06/20,8729,368
72,05/06/20,9237,508
73,06/06/20,9733,496
74,07/06/20,9733,0
75,08/06/20,10536,803
76,09/06/20,10947,411
77,10/06/20,11335,388
78,11/06/20,11610,275
79,12/06/20,12088,478
80,13/06/20,12616,528
81,14/06/20,13118,502
82,15/06/20,13615,497
83,16/06/20,13615,0
84,17/06/20,14091,476
85,18/06/20,14598,507
86,19/06/20,15181,583
87,20/06/20,15785,604
88,21/06/20,16594,809
89,22/06/20,17731,1137
90,23/06/20,18322,591
91,24/06/20,18893,571
92,25/06/20,19557,664
93,26/06/20,20193,636
94,27/06/20,20943,750
95,28/06/20,21549,606
96,29/06/20,22147,598
97,30/06/20,22828,681
98,01/07/20,23492,664
99,02/07/20,24056,564
100,03/07/20,24825,769
101,04/07/20,25797,972
102,05/07/20,26554,757
103,06/07/20,27707,1153
104,07/07/20,28636,929
105,08/07/20,29968,1332
106,09/07/20,31156,1188
107,10/07/20,32362,1206
108,11/07/20,33700,1338
109,12/07/20,35092,1392
110,13/07/20,36476,1384
111,14/07/20,38130,1654
112,15/07/20,39724,1594
113,16/07/20,41383,1659
114,17/07/20,43441,2058
115,18/07/20,45163,1722
116,19/07/20,47036,1873
117,20/07/20,49247,2211
118,21/07/20,51160,1913
119,22/07/20,53288,2128
120,23/07/20,55588,2300
121,24/07/20,58104,2516
122,25/07/20,60771,2667
123,26/07/20,63742,2971
124,27/07/20,66988,3246
125,28/07/20,70493,3505
